sample_time,data_(t+h),data_(t),data_([t+h]-[t]),log_data
200,54.1311,39.3163,14.8148,2.6956266811
210,54.9451,40.1303,14.8148,2.6956266811
220,55.5963,41.1071,14.4892,2.67340354432
230,56.0847,42.2467,13.838,2.62741843108
240,56.2475,42.8979,13.3496,2.59148642185
250,56.8987,43.7119,13.1868,2.57921632926
260,57.5499,44.3631,13.1868,2.57921632926
270,58.3639,45.3399,13.024,2.56679380926
280,58.8523,45.9911,12.8612,2.55421502705
290,59.5035,46.6423,12.8612,2.55421502705
300,59.9919,47.2935,12.6984,2.54147600128
310,60.6431,47.7819,12.8612,2.55421502705
320,61.1315,48.7587,12.3728,2.51550051487
330,61.9455,49.4099,12.5356,2.52857259644
340,62.5967,50.2239,12.3728,2.51550051487
350,63.0851,50.7123,12.3728,2.51550051487
360,63.5735,51.2007,12.3728,2.51550051487
370,64.0619,52.0147,12.0472,2.48883226779
380,64.7131,52.6659,12.0472,2.48883226779
390,65.2015,53.4799,11.7216,2.4614332936
400,65.8527,54.1311,11.7216,2.4614332936
410,66.3411,54.9451,11.396,2.43326241664
420,66.9923,55.5963,11.396,2.43326241664
430,67.4807,56.0847,11.396,2.43326241664
440,68.1319,56.2475,11.8844,2.47522661573
450,68.6203,56.8987,11.7216,2.4614332936
460,69.1087,57.5499,11.5588,2.44744705163
470,69.7599,58.3639,11.396,2.43326241664
480,70.2483,58.8523,11.396,2.43326241664
490,70.7367,59.5035,11.2332,2.41887367918
500,71.0623,59.9919,11.0704,2.40427487976
510,71.5507,60.6431,10.9076,2.38945979398
520,72.0391,61.1315,10.9076,2.38945979398
530,72.5275,61.9455,10.582,2.35915444448
540,73.0159,62.5967,10.4192,2.34365025795
550,73.5043,63.0851,10.4192,2.34365025795
560,74.1555,63.5735,10.582,2.35915444448
570,74.9695,64.0619,10.9076,2.38945979398
580,75.6207,64.7131,10.9076,2.38945979398
590,75.9463,65.2015,10.7448,2.37442191661
600,76.1091,65.8527,10.2564,2.32790190098
610,76.5975,66.3411,10.2564,2.32790190098
620,76.9231,66.9923,9.9308,2.29564103876
630,77.4115,67.4807,9.9308,2.29564103876
640,77.8999,68.1319,9.768,2.27911173681
650,78.5511,68.6203,9.9308,2.29564103876
660,79.2023,69.1087,10.0936,2.31190155963
670,79.6907,69.7599,9.9308,2.29564103876
680,80.1791,70.2483,9.9308,2.29564103876
690,80.6675,70.7367,9.9308,2.29564103876
700,81.1559,71.0623,10.0936,2.31190155963
710,81.6443,71.5507,10.0936,2.31190155963
720,81.9699,72.0391,9.9308,2.29564103876
730,82.4583,72.5275,9.9308,2.29564103876
740,82.9467,73.0159,9.9308,2.29564103876
750,83.4351,73.5043,9.9308,2.29564103876
760,83.9235,74.1555,9.768,2.27911173681
770,84.4119,74.9695,9.4424,2.24521018513
780,84.9003,75.6207,9.2796,2.22781844242
790,85.2259,75.9463,9.2796,2.22781844242
800,85.7143,76.1091,9.6052,2.26230461849
810,86.2027,76.5975,9.6052,2.26230461849
820,86.8539,76.9231,9.9308,2.29564103876
830,87.3423,77.4115,9.9308,2.29564103876
840,87.8307,77.8999,9.9308,2.29564103876
850,88.1563,78.5511,9.6052,2.26230461849
860,88.4819,79.2023,9.2796,2.22781844242
870,88.8075,79.6907,9.1168,2.21011886532
880,89.1331,80.1791,8.954,2.19210035982
890,89.6215,80.6675,8.954,2.19210035982
900,89.9471,81.1559,8.7912,2.17375122115
910,90.2727,81.6443,8.6284,2.15505908814
920,90.5983,81.9699,8.6284,2.15505908814
930,91.0867,82.4583,8.6284,2.15505908814
940,91.5751,82.9467,8.6284,2.15505908814
950,92.0635,83.4351,8.6284,2.15505908814
960,92.2263,83.9235,8.3028,2.11659280731
970,92.7147,84.4119,8.3028,2.11659280731
980,93.0403,84.9003,8.14,2.09679018001
990,93.6915,85.2259,8.4656,2.13601089317
1000,93.8543,85.7143,8.14,2.09679018001
1010,94.3427,86.2027,8.14,2.09679018001
1020,94.6683,86.8539,7.8144,2.05596818549
1030,95.1567,87.3423,7.8144,2.05596818549
1040,95.6451,87.8307,7.8144,2.05596818549
1050,96.1335,88.1563,7.9772,2.0765874727
1060,96.4591,88.4819,7.9772,2.0765874727
1070,96.6219,88.8075,7.8144,2.05596818549
1080,96.9475,89.1331,7.8144,2.05596818549
1090,97.4359,89.6215,7.8144,2.05596818549
1100,97.9243,89.9471,7.9772,2.0765874727
1110,98.2499,90.2727,7.9772,2.0765874727
1120,98.5755,90.5983,7.9772,2.0765874727
1130,98.9011,91.0867,7.8144,2.05596818549
1140,99.2267,91.5751,7.6516,2.0349147763
1150,99.7151,92.0635,7.6516,2.0349147763
1160,100.0407,92.2263,7.8144,2.05596818549
1170,100.3663,92.7147,7.6516,2.0349147763
1180,100.5291,93.0403,7.4888,2.01340857108
1190,100.8547,93.6915,7.1632,1.9689568085
1200,101.3431,93.8543,7.4888,2.01340857108
1210,101.8315,94.3427,7.4888,2.01340857108
1220,102.1571,94.6683,7.4888,2.01340857108
1230,102.4827,95.1567,7.326,1.99142966436
1240,102.6455,95.6451,7.0004,1.94596729028
1250,102.8083,96.1335,6.6748,1.89833924129
1260,103.1339,96.4591,6.6748,1.89833924129
1270,103.6223,96.6219,7.0004,1.94596729028
1280,104.1107,96.9475,7.1632,1.9689568085
1290,104.4363,97.4359,7.0004,1.94596729028
1300,104.5991,97.9243,6.6748,1.89833924129
1310,104.9247,98.2499,6.6748,1.89833924129
1320,104.9247,98.5755,6.3492,1.84832882072
1330,105.2503,98.9011,6.3492,1.84832882072
1340,105.4131,99.2267,6.1864,1.82235333431
1350,105.9015,99.7151,6.1864,1.82235333431
1360,106.2271,100.0407,6.1864,1.82235333431
1370,106.5527,100.3663,6.1864,1.82235333431
1380,106.7155,100.5291,6.1864,1.82235333431
1390,107.0411,100.8547,6.1864,1.82235333431
1400,107.3667,101.3431,6.0236,1.79568508723
1410,107.6923,101.8315,5.8608,1.76828611304
1420,107.8551,102.1571,5.698,1.74011523608
1430,108.0179,102.4827,5.5352,1.7111276992
1440,108.3435,102.6455,5.698,1.74011523608
1450,108.6691,102.8083,5.8608,1.76828611304
1460,109.1575,103.1339,6.0236,1.79568508723
1470,109.4831,103.6223,5.8608,1.76828611304
1480,109.8087,104.1107,5.698,1.74011523608
1490,109.9715,104.4363,5.5352,1.7111276992
1500,110.1343,104.5991,5.5352,1.7111276992
1510,110.297133333,104.9247,5.37243333333,1.68128094059
1520,110.622766667,104.9247,5.69806666667,1.74012693602
1530,110.9484,105.2503,5.6981,1.74013278594
1540,111.4368,105.4131,6.0237,1.79570168846
1550,111.5996,105.9015,5.6981,1.74013278594
1560,111.9252,106.2271,5.6981,1.74013278594
1570,112.088,106.5527,5.5353,1.71114576523
1580,112.4136,106.7155,5.6981,1.74013278594
1590,112.7392,107.0411,5.6981,1.74013278594
1600,112.7392,107.3667,5.3725,1.68129334953
1610,113.0648,107.6923,5.3725,1.68129334953
1620,113.2276,107.8551,5.3725,1.68129334953
1630,113.716,108.0179,5.6981,1.74013278594
1640,113.8788,108.3435,5.5353,1.71114576523
1650,114.2044,108.6691,5.5353,1.71114576523
1660,114.3672,109.1575,5.2097,1.65052227253
1670,114.53,109.4831,5.0469,1.61877419341
1680,114.8556,109.8087,5.0469,1.61877419341
1690,115.1812,109.9715,5.2097,1.65052227253
1700,115.5068,110.1343,5.3725,1.68129334953
1710,115.5068,110.297133333,5.20966666667,1.65051587419
1720,115.6696,110.622766667,5.04683333333,1.61876098389
1730,115.8324,110.9484,4.884,1.58596455625
1740,116.158,111.4368,4.7212,1.55206300457
1750,116.4836,111.5996,4.884,1.58596455625
1760,116.8092,111.9252,4.884,1.58596455625
1770,117.1348,112.088,5.0468,1.61875437907
1780,117.1348,112.4136,4.7212,1.55206300457
1790,117.2976,112.7392,4.5584,1.51697168476
1800,117.2976,112.7392,4.5584,1.51697168476
1810,117.6232,113.0648,4.5584,1.51697168476
