sample_time,log_data
200,3.00504874019
210,2.98878821932
220,2.97225891737
230,2.93835736569
240,2.94694110938
250,2.93835736569
260,2.92969930295
270,2.90326604588
280,2.8942973759
290,2.8942973759
300,2.88524754038
310,2.8942973759
320,2.86689840171
330,2.86689840171
340,2.8482062687
350,2.85759600905
360,2.85759600905
370,2.83872752474
380,2.83872752474
390,2.81949616282
400,2.80973998787
410,2.77988702472
420,2.76973465326
430,2.76973465326
440,2.78993736057
450,2.77988702472
460,2.76973465326
470,2.75947815309
480,2.77988702472
490,2.77988702472
500,2.76973465326
510,2.73864406619
520,2.73864406619
530,2.70655575164
540,2.6956266811
550,2.6956266811
560,2.70655575164
570,2.71736666774
580,2.70655575164
590,2.70655575164
600,2.6956266811
610,2.6956266811
620,2.68457684492
630,2.67340354432
640,2.66210398906
650,2.66210398906
660,2.66210398906
670,2.65067529324
680,2.65067529324
690,2.65067529324
700,2.65067529324
710,2.65067529324
720,2.65067529324
730,2.66210398906
740,2.66210398906
750,2.66210398906
760,2.63911447084
770,2.60360778238
780,2.57921632926
790,2.57921632926
800,2.60360778238
810,2.59148642185
820,2.59148642185
830,2.57921632926
840,2.57921632926
850,2.56679380926
860,2.55421502705
870,2.52857259644
880,2.52857259644
890,2.51550051487
900,2.52857259644
910,2.50225528812
920,2.51550051487
930,2.50225528812
940,2.50225528812
950,2.50225528812
960,2.50225528812
970,2.48883226779
980,2.4614332936
990,2.4614332936
1000,2.4614332936
1010,2.4614332936
1020,2.43326241664
1030,2.41887367918
1040,2.40427487976
1050,2.40427487976
1060,2.41887367918
1070,2.41887367918
1080,2.41887367918
1090,2.38945979398
1100,2.38945979398
1110,2.40427487976
1120,2.41887367918
1130,2.40427487976
1140,2.38945979398
1150,2.35915444448
1160,2.35915444448
1170,2.34365025795
1180,2.35915444448
1190,2.34365025795
1200,2.35915444448
1210,2.32790190098
1220,2.32790190098
1230,2.27911173681
1240,2.26230461849
1250,2.22781844242
1260,2.24521018513
1270,2.26230461849
1280,2.26230461849
1290,2.22781844242
1300,2.21011886532
1310,2.21011886532
1320,2.21011886532
1330,2.19210035982
1340,2.17375122115
1350,2.15505908814
1360,2.15505908814
1370,2.17375122115
1380,2.19210035982
1390,2.19210035982
1400,2.15505908814
1410,2.11659280731
1420,2.09679427501
1430,2.09679836999
1440,2.11660485137
1450,2.15507067771
1460,2.13602270561
1470,2.11660485137
1480,2.07660000835
1490,2.07660000835
1500,2.09680246495
1510,2.0559809823
1520,2.09680246495
1530,2.07660000835
1540,2.11660485137
1550,2.07660000835
1560,2.07660000835
1570,2.0559809823
1580,2.0559809823
1590,2.0559809823
1600,2.0559809823
1610,2.0559809823
1620,2.03492784537
1630,2.03492784537
1640,2.01342192426
1650,2.01342192426
1660,1.99144331428
1670,1.99144331428
1680,1.99144331428
1690,1.96897076865
1700,1.96897076865
1710,1.9459768135
1720,1.9459720519
1730,1.92243679287
1740,1.89833924129
1750,1.89833924129
1760,1.8736466287
1770,1.8736466287
1780,1.84832882072
1790,1.82235333431
1800,1.84832882072
1810,1.84832882072
1820,1.84832882072
1830,1.82235333431
1840,1.82235333431
1850,1.84832882072
1860,1.84832882072
1870,1.8736466287
1880,1.84832882072
1890,1.79568508723
1900,1.74011523608
1910,1.74011523608
1920,1.76828611304
1930,1.76828611304
1940,1.76828611304
1950,1.76828611304
1960,1.76828611304
1970,1.76828611304
1980,1.76828611304
1990,1.76828611304
2000,1.74011523608
