0.1,1,0,0
0.5,0.98,-0.175478486150103,-6.60550458715596
1,0.96,-0.354575339208632,-16.5137614678899
2,0.88,-1.11034655699663,-31.7647058823529
3,0.76,-2.38372815438417,-43.5164835164835
3.2,0.752,-2.47564318816715,-42.8571428571429
3.25,0.74,-2.61536560538048,-45
3.5,0.72,-2.85335007137463,-46.154
4,0.672,-3.45261453892349,-52.9411764705882
5,0.58,-4.73144012874126,-59.4495412844037
6,0.52,-5.67993312730402,-64.4835164835165
7,0.46,-6.74484336636852,-69.2307692307692
8,0.42,-7.53501419204199,-70.9489051094891
9,0.38,-8.4043280676638,-76.7213114754098
10,0.34,-9.3704216591549,-79.2660550458716
